"text","label"
"the system as described above has its greatest application in an arrayed e11 configuration e12 of antenna e21 elements e22","12"
"the e11 child e12 was carefully wrapped and bound into the e21 cradle e22 by means of a cord","0"
"the e11 author e12 of a keygen uses a e21 disassembler e22 to look at the raw assembly code","6"
"a misty e11 ridge e12 uprises from the e21 surge e22","0"
"the e11 student e12 e21 association e22 is the voice of the undergraduate student population of the state university of new york at buffalo","15"
"this is the sprawling e11 complex e12 that is peru largest e21 producer e22 of silver","0"
"the current view is that the chronic e11 inflammation e12 in the distal part of the stomach caused by helicobacter pylori e21 infection e22 results in an increased acid production from the non - infected upper corpus region of the stomach","10"
"e11 people e12 have been moving back into e21 downtown e22","7"
"the e11 lawsonite e12 was contained in a e21 platinum crucible e22 and the counter - weight was a plastic crucible with metal pieces","17"
"the solute was placed inside a beaker and 5 ml of the e11 solvent e12 was pipetted into a 25 ml glass e21 flask e22 for each trial","7"
"the fifty e11 essays e12 collected in this e21 volume e22 testify to most of the prominent themes from professor quispel scholarly career","15"
"their e11 composer e12 has sunk into e21 oblivion e22","0"
"the pulitzer committee issues an official e11 citation e12 explaining the e21 reasons e22 for the award","1"
"the e11 burst e12 has been caused by water hammer e21 pressure e22","10"
"even commercial e11 networks e12 have moved into e21 high - definition broadcast e22","6"
"it was a friendly e11 call e12 to remind them about the e21 bill e22 and make sure they have a copy of the invoice","1"
"texas - born e11 virtuoso e12 finds harmony sophistication in appalachian e21 instrument e22","6"
"the e11 factory e12 products have included flower pots finnish rooster - whistles pans e21 trays e22 tea pots ash trays and air moisturisers","4"
"the girl showed a photo of apple e11 tree e12 e21 blossom e22 on a fruit tree in the central valley","12"
"they tried an assault of their own an hour later with two columns of sixteen tanks backed by a e11 battalion e12 of panzer e21 grenadiers e22","16"
"their e11 knowledge e12 of the power and rank symbols of the continental empires was gained from the numerous germanic e21 recruits e22 in the roman army and from the roman practice of enfeoffing various germanic warrior groups with land in the imperial provinces","13"
"she soon had a e11 stable e12 of her own rescued e21 hounds e22","16"
"the e11 singer e12 who performed three of the nominated songs also caused a e21 commotion e22 on the red carpet","9"
"his intellectually engaging books and e11 essays e12 remain pertinent to illuminating contemporary e21 history e22","0"
"poor hygiene controls reports of a e11 brace e12 of gamey e21 grouse e22 and what looked like a skinned fox all amounted to a pie that was unfit for human consumption","16"
"this sweet e11 dress e12 is made with a e21 blend e22 of cotton and silk and the crochet flower necklace is the perfect accessory","0"
"e11 suicide e12 is one of the leading causes of e21 death e22 among pre - adolescents and teens and victims of bullying are at an increased risk for committing suicide","9"
"this e11 article e12 gives details on 2004 in e21 music e22 in the united kingdom including the official charts from that year","1"
"we have therefore taken the initiative to convene the first international open e11 meeting e12 dedicated solely to e21 rural history e22","1"
"the e11 timer e12 of the e21 device e22 automatically eliminates wasted standby power consumption by automatically turn off electronics plugged into the auto off outlets","11"
"bob parks made a similar e11 offer e12 in a e21 phone call e22 made earlier this week","2"
"he had chest pains and e11 headaches e12 from e21 mold e22 in the bedrooms","10"
"the silver - haired author was not just laying india politician saint to rest but healing a generations - old rift in the family of the e11 country e12 founding e21 father e22","3"
"it describes a method for loading a horizontal e11 stack e12 of containers into a e21 carton e22","7"
"the foundation decided to repurpose the building in order to reduce wear and tear on the e11 plumbing e12 in the e21 manor house e22 by redirecting visitors during restoration projects and beyond","11"
"the technology is available to produce and transmit e11 electricity e12 economically from otec e21 systems e22","13"
